Fecha y hora,Usuario,Email,Dificultad,Temática,Cantidad de respuestas correctas,Puntos
2024-06-19 20:06:28,santi,santi@gmail.com,Fácil,Aeropuertos,0,0
2024-06-19 20:08:40,santi,santi@gmail.com,Fácil,Conectividad,0,0
2024-06-19 20:11:02,Bauti,bauti@gmail.com,Fácil,Aeropuertos,0,0
2024-06-19 20:11:18,Bauti,bauti@gmail.com,Fácil,Conectividad,0,0
2024-06-19 20:11:43,Bauti,bauti@gmail.com,Alta,Conectividad,2,4
2024-06-19 20:16:37,Bauti,bauti@gmail.com,Fácil,Aeropuertos,0,0
2024-06-19 20:16:44,Bauti,bauti@gmail.com,Fácil,Conectividad,0,0
2024-06-19 20:20:34,Nacho,nacho@gmail.com,Fácil,Conectividad,0,0
2024-06-19 20:20:47,Nacho,nacho@gmail.com,Fácil,Conectividad,0,0
2024-06-19 20:25:57,Nacho,nacho@gmail.com,Fácil,Conectividad,3,3
